check_item,category,file_path,status,sha256,required,notes
Supplementary Table S13,supplementary_table,supplementary_tables/Supplementary_Table_S13_part1.csv,present,c5e9c9e702109adf3fd17e1167c122097f875296b99f111545979c4ad9081dd6,true,
Supplementary Table S13,supplementary_table,supplementary_tables/Supplementary_Table_S13_part2.csv,present,0d6d4ebe1e210955ba6acc4950eed723fe21115a8fc4b8acefab0493891eab8d,true,
Supplementary Table S14,supplementary_table,supplementary_tables/Supplementary_Table_S14.csv,present,0729dbcfbd7f2716992efcc5ea559cad7b6a30373dacf8fed187b00f4c040cb0,true,
Supplementary Table S14,supplementary_table,supplementary_tables/Supplementary_Table_S14__phase6_external_validation_interpretation.csv,present,0729dbcfbd7f2716992efcc5ea559cad7b6a30373dacf8fed187b00f4c040cb0,true,
Supplementary Table S15,supplementary_table,supplementary_tables/Supplementary_Table_S15__phase8A_AS_candidate_file_classification.csv,present,00484ae44f3fc693bb0ae9c0f68c2bb8f3ace19bd7cf03de04ac7958a56f93c3,true,
Supplementary Table S15,supplementary_table,supplementary_tables/Supplementary_Table_S15__phase8A_AS_feasibility_report.csv,present,0b6ceec40af886e451f5b46c9f9e15273777e3ed10ee9a51cbd858201aa35c6c,true,
Supplementary Table S15,supplementary_table,supplementary_tables/Supplementary_Table_S15_part1.csv,present,0b6ceec40af886e451f5b46c9f9e15273777e3ed10ee9a51cbd858201aa35c6c,true,
Supplementary Table S15,supplementary_table,supplementary_tables/Supplementary_Table_S15_part2.csv,present,00484ae44f3fc693bb0ae9c0f68c2bb8f3ace19bd7cf03de04ac7958a56f93c3,true,
README,metadata,README.md,present,3760186d8b8509871506f35d1b5ba29b4ad2da7f5629afea8b7941a86bdc5744,true,
LICENSE note,metadata,LICENSE_note.md,present,f9d3ddd3d3ea3487c02032b2fea354143e7a0dbe2aa40a6d2e255c1c3fabdad8,true,
repository_manifest,metadata,metadata/repository_manifest.csv,present,328b0390efe21656255252e2fb7fb1390508bc088a1d861e4e19e22e9f8c4319,true,
data_dictionary,metadata,metadata/data_dictionary.csv,present,11e75267fd4c2648aeb1b840df4f573a32269865b5f6fa394e3236e71e8439c7,true,
code_manifest,metadata,metadata/code_manifest.csv,present,f577aa7695028e513cce87bd86629d184cd62b75ec4f20602fd62ec8a64f1afa,true,
final_file_manifest,metadata,metadata/final_file_manifest.csv,present,d9f57fc7b174dd7a2b91c9da27947ea0aabb26c0d98a7440788f289a77d5a4f8,true,
