module_color,gene_symbol,GS_PRFT,GS_PRFT_P,MM,MM_P,logFC,P.Value,adj.P.Val,module_cor_with_PRFT,module_P,module_FDR,selection_type
magenta,SCARA3,0.331395849599364,8.43872908472416e-06,0.516630564595173,3.43618733851617e-13,1.13594212777333,0.00425723673189853,0.0249647096536639,0.414517419373002,1.43006744926059e-08,6.43530352167264e-08,FDR_significant
red,CHCHD10,0.331276051996574,8.50612496020898e-06,0.623222614018679,5.35642608784092e-20,0.639452218658122,3.63821592357922e-05,0.000863628960220117,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
red,C10orf41,0.331227364137731,8.53366128736537e-06,0.492435980798116,5.92224630750608e-12,0.983233640737775,6.18971160381789e-06,0.000265410321709039,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
blue,MRVI1,0.330504426181322,8.95259931609701e-06,0.663442413729585,2.6278982011681e-23,0.872869419941208,3.45882732790292e-05,0.000836876164787205,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
blue,OPLAH,0.330285398788539,9.08332092238374e-06,0.504525194130074,1.46843874692611e-12,1.00379615076184,0.000277922029140796,0.0035686688433789,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
blue,CYBB,0.330196981882603,9.13660099888973e-06,0.825307400205935,2.66516160341278e-44,1.1807282010158,0.000705172277264278,0.0069937211495411,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
magenta,HOXB9,0.329802518540895,9.37793109177944e-06,0.642402189500104,1.6302545644486e-21,1.31837944399894,0.00754107815120943,0.0372874323925312,0.414517419373002,1.43006744926059e-08,6.43530352167264e-08,FDR_significant
tan,SPATA18,0.329756268500776,9.40661865422771e-06,0.543956132303858,1.03947622060647e-14,1.22279244854318,0.000125122662905303,0.00204099567290244,0.426235973348544,5.00679688589554e-09,3.00407813153733e-08,FDR_significant
tan,CFD,0.3297418817695,9.41555925857173e-06,0.757384533063729,1.779450347731e-33,1.08495044105856,0.00107638009942148,0.00949919315120018,0.426235973348544,5.00679688589554e-09,3.00407813153733e-08,FDR_significant
magenta,ARHGEF5,0.329150111827013,9.79036497067793e-06,0.536616213999613,2.74425701810963e-14,0.90606315156376,0.000334805292226146,0.00407656844816622,0.414517419373002,1.43006744926059e-08,6.43530352167264e-08,FDR_significant
blue,MAFB,0.328062185110844,1.05165570246616e-05,0.891693827707907,9.27990339102628e-61,1.3803834001604,0.000647424070189521,0.00657696206003645,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
red,C19orf35,0.328039073692913,1.05325233442048e-05,0.534617188834278,3.56032410156702e-14,0.587694145950292,0.000263089373854222,0.00342016186010488,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
red,GADD45G,0.327915530882477,1.06182616395293e-05,0.497552156524435,3.30430791934892e-12,0.619726450147025,0.0032974025834801,0.0209626160862646,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
blue,CCR1,0.327629221579329,1.08195055089097e-05,0.882720388873754,5.63623023626674e-58,1.04685018711576,0.000783352266692803,0.00751954261510725,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
blue,ACOX2,0.326747532862965,1.14621499496916e-05,0.514476169632077,4.46854121906108e-13,1.15729751403369,0.000195678616631328,0.00277004062744401,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
magenta,GPC4,0.326398034015387,1.17267527886038e-05,0.497869737122998,3.18574895296519e-12,1.29478076717456,0.00111282003214672,0.00966669325571289,0.414517419373002,1.43006744926059e-08,6.43530352167264e-08,FDR_significant
blue,TMEM150B,0.326341522139035,1.17700764758224e-05,0.553597106846025,2.80025184204809e-15,1.25580013365411,4.38759009477355e-05,0.000985584677136244,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
red,CD276,0.326149096859567,1.19187337607727e-05,0.567257344995598,4.05529825056745e-16,1.38916486233629,0.000100364719038956,0.00175119387331116,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
blue,AP1S3,0.326098196685182,1.19583524938462e-05,0.329709528494911,9.43569453633437e-06,0.846595094894425,1.08456784073575e-05,0.000378773748311871,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
magenta,PVR,0.325552224174133,1.23912251715117e-05,0.458570770303103,2.22868537046289e-10,0.958923990911538,8.28081197653831e-05,0.00153455410128582,0.414517419373002,1.43006744926059e-08,6.43530352167264e-08,FDR_significant
tan,LOC644538,0.325345062849177,1.25593180384652e-05,0.498484326426359,2.96793964887264e-12,1.24117067628977,2.81825905051976e-05,0.000723750455211242,0.426235973348544,5.00679688589554e-09,3.00407813153733e-08,FDR_significant
blue,STX11,0.325315492886555,1.25834865694694e-05,0.892154800802922,6.57643021146214e-61,0.768322935044118,0.000668564206908525,0.00671560972830634,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
red,SLC22A18,0.324911846984149,1.29178296801896e-05,0.759583394200119,9.06596204429384e-34,0.556294052392421,0.00297909323189346,0.0195387082320259,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
blue,RIN2,0.32465302933865,1.31366118867926e-05,0.71896139471269,8.13824496511348e-29,0.983749198075395,0.000391491570987684,0.00454622907604698,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
blue,SAT1,0.324506317577425,1.32621806050744e-05,0.693453541549857,3.95066403661262e-26,0.579624458700913,0.000694712895976668,0.00691553440183226,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
blue,SIRPD,0.32434489726765,1.34016491521352e-05,0.899815724524277,1.69145027347677e-63,1.14591614541567,0.000518742421679728,0.00558947186359428,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
blue,FZD1,0.324155430429899,1.35671191878385e-05,0.509232438482297,8.4047742356812e-13,0.654623442929717,0.000115908165003955,0.00192258690261964,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
blue,EXT1,0.324067452423558,1.36446093885223e-05,0.645806335746992,8.54539514681821e-22,0.982448516439463,0.000232099792756147,0.00313387593227132,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
red,ABCC6P2,0.32320305050382,1.44285464195802e-05,0.294529111508071,8.37342942627582e-05,0.775626677359002,0.00195611099631425,0.014456942832595,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
blue,HNRPLL,0.322185867987247,1.54055560546369e-05,0.443469336976635,9.92869085519514e-10,0.990792702485983,0.000810163826263305,0.00768288355948638,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
blue,BST1,0.322148113125179,1.54429963062772e-05,0.677150129098506,1.48477155165549e-24,0.973820235231241,3.21204263735881e-05,0.000793484128682969,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
blue,SPATS2L,0.321350660125775,1.6254181234502e-05,0.399729167943908,5.08348484275145e-08,1.20213826516975,1.17840543704899e-05,0.000402582648766065,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
magenta,WWC1,0.320991184987229,1.66328618411691e-05,0.509943360007484,7.71975957241513e-13,1.07135739107191,0.00031835274847364,0.00393478144272344,0.414517419373002,1.43006744926059e-08,6.43530352167264e-08,FDR_significant
tan,SLC26A8,0.320625065284872,1.70270981717936e-05,0.583713224525681,3.50179196399465e-17,0.812861013098114,0.000356996878812015,0.00428148080125565,0.426235973348544,5.00679688589554e-09,3.00407813153733e-08,FDR_significant
blue,SIGLEC16,0.320102880798141,1.76046804936927e-05,0.807285478660872,5.15728318052909e-41,0.83058231756216,0.000375125665425042,0.00442441448995049,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
blue,LILRB5,0.319824026504982,1.79206475616094e-05,0.647968007797005,5.64603362114539e-22,0.857081034482768,0.00320596066382584,0.0205688491942255,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
tan,C9orf110,0.319573680010062,1.82088675693278e-05,0.596414732663637,4.80011642604524e-18,0.923808406843101,0.00222254561363774,0.0159137309361418,0.426235973348544,5.00679688589554e-09,3.00407813153733e-08,FDR_significant
tan,MRGPRF,0.319545916325007,1.82410997188716e-05,0.684882269678579,2.73854131648454e-25,1.13398493718257,5.27663848204962e-06,0.000241672610185163,0.426235973348544,5.00679688589554e-09,3.00407813153733e-08,FDR_significant
blue,FGR,0.318708873526673,1.92385433573727e-05,0.881464797510606,1.32510055972849e-57,1.04552080994388,0.00109739150766795,0.00960461657416806,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
red,SIRPB2,0.318622102653637,1.93448370467103e-05,0.523719232938739,1.42877433049584e-13,0.901255840684327,0.000296453901714319,0.00374024681358602,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
blue,C1QA,0.318526425782205,1.94626830669145e-05,0.59007206333309,1.3090357821146e-17,1.37471849772789,0.000590707424669035,0.00615696376631778,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
blue,ITGB2,0.31835570959956,1.96746407452767e-05,0.793690693997142,9.34260836353014e-39,0.609050320769873,0.00339444177068459,0.0213845287454373,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
blue,CCDC151,0.31831805055026,1.97216898625993e-05,0.527442575123521,8.9373625178652e-14,0.576223630045444,0.00294642970509401,0.0193725437543449,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
tan,ABCC6,0.318164325753261,1.99148488270981e-05,0.543487509165881,1.10672533414619e-14,0.659614942528755,0.000837703248516147,0.00788840717862328,0.426235973348544,5.00679688589554e-09,3.00407813153733e-08,FDR_significant
