gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulation,ranking_metric,neg_log10_adjP
ZXDA,-0.239624873028589,5.98335895953757,-1.65441837488821,0.0998536649009935,0.227769438626596,-4.98692131410821,Not_significant,-1.00063599071247,0.642504548589793
STK32A,0.123164501470195,0.103626589595376,1.65438289864795,0.0998608785053812,0.227769438626596,-4.98697750695693,Not_significant,1.00060461764841,0.642504548589793
JMJD8,0.141535164394563,9.43811734104046,1.65421804855926,0.0998944039984268,0.227793888247788,-4.98723860715281,Not_significant,1.0004588399089,0.642457932301992
ROR2,0.430424178027269,2.07785260115607,1.65410990778995,0.0999164014584183,0.227793888247788,-4.98740987379541,Not_significant,1.00036321569572,0.642457932301992
LOC100144603,0.175168778401503,2.74110693641619,1.65409308569405,0.0999198236760788,0.227793888247788,-4.98743651461343,Not_significant,1.00034834101276,0.642457932301992
HOXD13,-0.156342582197274,0.122481502890173,-1.65409220454637,0.0999200029357197,0.227793888247788,-4.98743791006222,Not_significant,-1.00034756187404,0.642457932301992
CHST5,0.3308977947073,1.95029710982659,1.65372540546757,0.0999946465764764,0.227903095160109,-4.98801873695745,Not_significant,1.0000232502453,0.642249776610638
CCDC122,-0.302371291098623,5.14624277456647,-1.65371961170592,0.0999958259671382,0.227903095160109,-4.98802791038753,Not_significant,-1.00001812797273,0.642249776610638
EP400NL,-0.120326971397997,9.11663526011561,-1.65367834397581,0.100004226839274,0.227903095160109,-4.98809324987629,Not_significant,-0.999981643458221,0.642249776610638
ARL13B,0.129260157711856,7.45056994219653,1.65328141628638,0.100085058404174,0.228059694879576,-4.9887216277017,Not_significant,0.999630753059801,0.64195146105423
FOXI1,0.360171732157182,1.49668612716763,1.65278235384119,0.100186763561308,0.228263814727435,-4.98951148827925,Not_significant,0.999189652640501,0.641562929113103
OR7E91P,0.385828187650366,1.39097687861272,1.65246775533649,0.100250919060475,0.228353241899755,-4.99000928122041,Not_significant,0.998911637250792,0.64139281839383
TAP1,0.161767936380661,10.4222410404624,1.65235282941433,0.100274363931224,0.228353241899755,-4.99019110699484,Not_significant,0.99881008419085,0.64139281839383
MBLAC1,0.181815677626307,3.71026936416185,1.65232238573411,0.100280575175988,0.228353241899755,-4.99023927028077,Not_significant,0.998783183738141,0.64139281839383
FAM184A,0.373998837209309,2.71568150289017,1.65226099544669,0.100293101215705,0.228353241899755,-4.99033638989361,Not_significant,0.998728939432166,0.64139281839383
TMEM175,0.184170997059626,9.15034104046243,1.65225331488101,0.100294668442555,0.228353241899755,-4.990348540325,Not_significant,0.998722152996742,0.64139281839383
FOXF2,-0.379637904303662,0.453481502890173,-1.65215727981157,0.100314266153853,0.228353241899755,-4.99050046039432,Not_significant,-0.998637299568665,0.64139281839383
FYN,0.237522106388676,9.61922427745665,1.65211438709354,0.100323020191711,0.228353241899755,-4.99056831060315,Not_significant,0.998599402023219,0.64139281839383
FAM66D,-0.545590310077508,5.25288497109827,-1.65211418448249,0.100323061544357,0.228353241899755,-4.99056863110111,Not_significant,-0.998599223009249,0.64139281839383
KLC1,-0.0866549452017935,11.0755023121387,-1.65188428280156,0.100369993002297,0.228432444477722,-4.99093227391477,Not_significant,-0.998396106128811,0.641242212786283
FA2H,0.339295936915266,1.61118208092486,1.65151120190632,0.100446190212947,0.228569597585382,-4.99152228360796,Not_significant,0.998066530800966,0.640981536315989
CAMK2A,0.35187177225341,1.30220867052023,1.65147032789877,0.100454541055241,0.228569597585382,-4.99158691606635,Not_significant,0.998030426156579,0.640981536315989
RAPH1,0.333064514835619,6.82078208092486,1.65097964138893,0.100554835280292,0.22877014978441,-4.99236269844905,Not_significant,0.997597041078582,0.640600643470111
TEX101,-0.269580860732424,0.598165317919075,-1.65090857157987,0.1005693683173,0.228775563650134,-4.99247504233132,Not_significant,-0.9975342776948,0.640590365974592
NME2,0.13373124832934,11.2070335260116,1.65084736064548,0.10058188667037,0.228776393750971,-4.99257179800608,Not_significant,0.997480222335633,0.640588790161365
KIAA0892,-0.0893296043838419,11.3712526011561,-1.65075124281539,0.100601546420349,0.228787521460743,-4.99272372374678,Not_significant,-0.997395343368934,0.640567666542171
RPS9,0.148182317562174,13.0978578034682,1.65070460347607,0.100611087051213,0.228787521460743,-4.99279743972219,Not_significant,0.997354158645394,0.640567666542171
ALDOC,0.317992836140078,6.3486387283237,1.65049829198853,0.100653299242061,0.228855864830603,-4.99312350190079,Not_significant,0.99717198511573,0.640437953540673
AIF1L,-0.639145736434096,7.54105895953757,-1.65019131900816,0.100716133543478,0.228971074616236,-4.99360858014353,Not_significant,-0.996900954990772,0.640219377607687
SPATA4,0.0984918738305267,0.144637572254335,1.64990352452347,0.10077507083115,0.229077398058878,-4.99406327322912,Not_significant,0.996646887924931,0.640017758399153
SLC5A5,-0.482750400962304,3.13671445086705,-1.64979751846899,0.100796786742352,0.229099096068344,-4.99423073527138,Not_significant,-0.996553312357842,0.639976624356236
LOC645431,-0.244849799518839,4.1162,-1.64970803825376,0.100815120173593,0.229113101792552,-4.99437208267176,Not_significant,-0.996474327855725,0.639950075046685
LRRK2,0.628804691259037,8.08301156069364,1.64953698243714,0.10085017493363,0.22916510054933,-4.99464227029682,Not_significant,0.99632334412802,0.63985152018147
RPS2P32,0.18193838545844,4.64335549132948,1.64938566208478,0.100881193436967,0.229207916144535,-4.99488126257517,Not_significant,0.996189788647271,0.639770387234662
KIAA1191,-0.0734329858326408,9.84884104046243,-1.64896716651999,0.10096701895642,0.229329525121274,-4.99554211541521,Not_significant,-0.99582046606265,0.639540028253986
ILF2,0.0895607992515561,11.6305497109827,1.64895226606643,0.100970075838892,0.229329525121274,-4.99556564195963,Not_significant,0.995807317540424,0.639540028253986
CN5H6,0.216670221865816,4.22235202312139,1.64889014168152,0.100982821684862,0.229329525121274,-4.99566372884343,Not_significant,0.995752498316267,0.639540028253986
CDC26,0.205059222133127,6.19876994219653,1.64877301907112,0.101006854843864,0.229329525121274,-4.99584864153775,Not_significant,0.995649151763456,0.639540028253986
STAG2,-0.169447099705932,11.9222843930636,-1.64873725745268,0.101014193921531,0.229329525121274,-4.99590509929946,Not_significant,-0.995617597418459,0.639540028253986
EIF1,0.116719941192208,13.0386624277457,1.64864942018515,0.101032221896818,0.229329525121274,-4.99604376515942,Not_significant,0.995540095917868,0.639540028253986
EPHA8,0.135443905372896,0.194193641618497,1.64861115331167,0.101040076709305,0.229329525121274,-4.99610417360124,Not_significant,0.99550633273761,0.639540028253986
C17orf79,0.133801483560557,7.27055838150289,1.64859779740336,0.10104281831233,0.229329525121274,-4.99612525704257,Not_significant,0.995494548830168,0.639540028253986
PRPF18,0.0793087409783659,8.88652312138728,1.64856405298826,0.101049745384988,0.229329525121274,-4.99617852474557,Not_significant,0.995464776438971,0.639540028253986
TAF7,-0.123512469927809,11.1949716763006,-1.64853092925717,0.101056545414416,0.229329525121274,-4.99623081163285,Not_significant,-0.995435552061571,0.639540028253986
INSL5,-0.212798984228815,0.53389710982659,-1.64818986153865,0.101126585198484,0.229460805180359,-4.99676913897171,Not_significant,-0.995134657591702,0.639291486804722
B3GNT7,0.482175982357672,5.7008710982659,1.6480897833058,0.101147144111933,0.229479792788119,-4.996927077899,Not_significant,0.995046375018121,0.639255550941492
NOS1,0.173997527399092,0.12821676300578,1.64801520389479,0.101162467026344,0.229486897963834,-4.99704476970496,Not_significant,0.994980588156582,0.639242104481572
DHX16,0.0749491713445707,9.63611329479769,1.64721882465203,0.101326205594231,0.229830641535824,-4.99830119333832,Not_significant,0.994278220255334,0.638592070674729
SFRS2IP,-0.0919441726810852,12.3769052023121,-1.64687636040192,0.10139668296488,0.229962790377216,-4.99884130813195,Not_significant,-0.993976252040275,0.638342430248384
OLFML2A,0.648620529270261,6.72849884393064,1.64642293084927,0.101490056999399,0.23014682965386,-4.99955626369873,Not_significant,0.993576503581453,0.637995003274103
FAM73B,0.146743517776013,9.5656098265896,1.64566862977568,0.101645542037445,0.230445272705946,-5.00074520313168,Not_significant,0.992911663863065,0.637432196451502
FUT4,0.234986327185261,11.380661849711,1.6456656894947,0.101646148495403,0.230445272705946,-5.00074983660975,Not_significant,0.992909072696216,0.637432196451502
ORC5L,0.112637289494804,7.9966,1.64522940374251,0.101736168353722,0.230611828838536,-5.00143727406466,Not_significant,0.992524623046038,0.637118420078833
UGT2B15,0.156341272387063,0.296031791907514,1.64507651373606,0.101767729650718,0.230611828838536,-5.00167813478026,Not_significant,0.992389914105604,0.637118420078833
SYTL3,0.34316373964182,6.77262832369942,1.64507624845629,0.101767784419623,0.230611828838536,-5.00167855267935,Not_significant,0.992389680378989,0.637118420078833
SLC30A1,0.185209101844444,8.06414797687861,1.64507221171375,0.101768617836896,0.230611828838536,-5.00168491181079,Not_significant,0.992386123781561,0.637118420078833
TP53I11,0.391468805132339,9.08667976878613,1.64474729915651,0.101835716568078,0.230736101188913,-5.0021967011131,Not_significant,0.992099876341542,0.636884450036639
HCFC1,-0.117553929430603,12.5402751445087,-1.64468299264516,0.101849000921655,0.230738427409944,-5.00229798256197,Not_significant,-0.992043226814436,0.636880071615319
NIPBL,-0.114968831863118,12.0370716763006,-1.64416645556709,0.101955756948781,0.23095248722068,-5.00311137887523,Not_significant,-0.991588246683297,0.636477356299443
REPS2,0.213247821438129,8.23727976878613,1.6440343266832,0.101983079296988,0.230986582202683,-5.00331940387005,Not_significant,0.991471878998276,0.636413247140675
SLC16A6,0.433524431970067,4.29748959537572,1.64395584182908,0.101999311616092,0.230995553640679,-5.00344296352131,Not_significant,0.991402759241429,0.636396379622585
