feature_set,interpretation_class,algorithm,rank,gene_symbol,importance,mean_abs_shap,importance_sd,explanation_method
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,27,NEDD9,0,,0,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,27,HOXB6,0.01445283389225,0.01445283389225,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,28,PRKCD,-1.1102228393367e-17,,6.30051484617694e-05,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,28,BCL2L11,0.0138724752233466,0.0138724752233466,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,29,MYOF,-1.33654103181002e-05,,4.22651384679123e-05,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,29,FTH1,0.0130217061781814,0.0130217061781814,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,30,THBS1,-4.00962309543007e-05,,6.45610654289994e-05,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,30,NEDD9,0.00999197367285351,0.00999197367285351,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,31,MYO7A,-4.00962309543118e-05,,9.02096441740912e-05,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,31,MYOF,0.00990817226224573,0.00990817226224573,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,32,BCL2L11,-5.34616412724009e-05,,6.90186821029746e-05,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,32,FGR,0.00925058175976566,0.00925058175976566,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,33,CTSD,-6.68270515905012e-05,,7.04418974465205e-05,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,33,SLC16A3,0,0,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,1,HERPUD1,0.0332531408714248,,0.00728950780272942,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,1,AIFM2,0.51926995664189,0.51926995664189,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,2,HSPA1A,0.0288291900561348,,0.00655618448184711,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,2,HSPA1A,0.469536238581459,0.469536238581459,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,3,AIFM2,0.0238171611868485,,0.00324815830921859,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,3,HERPUD1,0.413946401284781,0.413946401284781,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,4,SLC40A1,0.0195535952953756,,0.00877221973993177,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,4,HSPA5,0.381136931694312,0.381136931694312,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,5,P4HB,0.0147554129911789,,0.00447567217688073,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,5,NFE2L2,0.347535375427627,0.347535375427627,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,6,PSMB5,0.01242983159583,,0.00349380449553552,permutation_importance_fallback
FS-F_core_axis_explanatory_genes,label-proximal explanatory,XGBoost,6,SLC3A2,0.320140762480697,0.320140762480697,,xgboost_predcontrib_SHAP
FS-F_core_axis_explanatory_genes,label-proximal explanatory,Elastic Net Logistic Regression,7,NFE2L2,0.0118283881315157,,0.00227626536421936,permutation_importance_fallback
