gene_symbol,module_color
TMEM8B,red
IL12A,magenta
CSF2RA,blue
CYTH4,blue
TRIM32,magenta
KLF2,red
LOC283663,tan
FLVCR2,blue
ASTN2,magenta
TRPV4,blue
GDPD4,blue
PLEC,blue
MRVI1,blue
C10orf105,blue
CEBPD,blue
ADAP1,red
C13orf15,tan
S100A5,blue
LOC100240726,magenta
NUDT14,red
SIGLEC15,red
FLJ33360,red
RNF112,blue
FCGRT,blue
TG,blue
GGT3P,red
HECW2,blue
SDSL,magenta
CAPN5,red
LDLR,blue
GGT1,red
KAZ,magenta
GFI1,tan
KBTBD11,tan
TMC4,tan
MEGF9,blue
PFKFB4,blue
ADSSL1,blue
GALNT12,magenta
MATN4,tan
METRNL,blue
HPD,red
FAM49A,blue
MAP3K6,red
ITGB7,blue
SNTB2,blue
LOC388242,blue
KCNH7,blue
GRK5,blue
ZNF467,blue
NLRP1,blue
VAV2,blue
TRIP10,red
CPNE8,magenta
RELL2,blue
CMTM4,blue
ULBP2,red
MICAL2,blue
SETD7,blue
PER1,red
SLC2A9,red
LOC728613,magenta
IQCK,tan
SMAD7,blue
SORBS3,red
PLIN5,red
RNF208,magenta
BAG2,magenta
PMM1,blue
AIFM2,magenta
MGC14436,magenta
XKR7,blue
WIPI1,blue
SOCS1,red
SLC12A8,blue
C4orf48,red
C17orf91,blue
CPE,red
SFTPD,red
CCL5,blue
FOS,blue
CLEC12A,blue
ANXA2P3,blue
C17orf60,red
ADORA3,blue
C10orf54,blue
FAM81B,magenta
PLAUR,red
OSGIN1,blue
ARNTL,blue
S100A4,blue
UPK3A,blue
LOC150381,magenta
SUCLG2,blue
UBTD1,red
ENHO,blue
SNX10,blue
GGT7,red
MX2,blue
PRDM12,red
NAMPT,blue
TLN2,magenta
PSAP,blue
BEST1,blue
CDK18,magenta
HVCN1,blue
AHR,blue
OR7E91P,blue
ALDH3A1,magenta
SLC36A1,tan
B3GALT1,magenta
CCL1,magenta
UCN2,red
UPB1,blue
GPR183,blue
LYST,tan
FAM157A,blue
LOC100302650,red
RXRA,blue
FKBP9,red
DOC2B,tan
GFRA3,tan
KLF5,magenta
HRH2,red
KLHDC7B,red
NRG1,blue
CLEC4F,blue
PAOX,blue
HLA-G,red
ASAP1IT1,blue
PSTPIP1,red
C4orf34,blue
TRIM7,blue
LOC100133161,blue
CDC42EP3,blue
ICAM1,blue
ANKRD37,blue
C1orf162,blue
STK32C,red
SERPINB8,blue
SLC16A3,blue
COTL1,blue
NTNG1,blue
ADAMTSL4,red
GPR20,blue
RASGRP4,red
AQP4,tan
ADCY9,red
TRIP6,red
GCH1,blue
RHOC,blue
GPRIN1,blue
ANKRD24,red
CCDC109B,blue
GPR35,red
CHRNE,red
PIWIL4,tan
ULK2,blue
H2AFJ,blue
ISL2,blue
TRIB1,blue
LOC285696,blue
AP1S3,blue
EPS8L1,red
LOC201651,magenta
MT1X,red
CLCN5,blue
CXorf21,blue
MT2A,red
OXCT2,blue
SLC22A18AS,red
KCNK6,blue
APOB48R,blue
CCDC153,red
SIRPA,red
ZNF804A,tan
NOL3,red
UBXN11,blue
TLR1,blue
C10orf91,magenta
ACSL1,blue
RASL11A,red
ACP6,magenta
CFB,blue
C10orf116,red
LMLN,tan
SEPX1,red
EMILIN2,tan
C1orf38,blue
BTBD19,red
AGTRAP,red
ZFP36,red
C11orf75,red
NETO2,red
VMO1,blue
MT1G,red
P2RX7,blue
C2orf81,red
NANOG,magenta
SLC2A14,blue
IGDCC4,tan
PSRC1,blue
C1orf170,red
PAPSS2,blue
PPARD,blue
FOSL1,red
FAM188B,magenta
C2orf62,blue
PCDH12,blue
CCDC135,red
RAPH1,blue
STX1B,red
PLXDC2,blue
CTSD,red
TLR2,blue
CLCNKA,red
LOC152225,blue
KCTD17,blue
GPR25,red
SLC2A3,blue
UNC93B1,blue
CACNB1,blue
IFI27L2,red
AP1S2,blue
ASCL2,red
CELSR2,blue
RTN2,red
IL27,blue
CORO2A,red
TMEM14A,magenta
CARD16,blue
SAT1,blue
TNFSF8,blue
TUBG2,red
C21orf67,blue
DUSP1,blue
C10orf10,blue
TMEM144,blue
TSC22D3,red
TP53INP2,tan
PELI1,blue
ANKRD58,red
TSPAN4,red
SEL1L3,magenta
ITSN1,blue
SDS,blue
CALHM2,red
RARG,blue
CTSZ,blue
CITED4,red
ODF3L1,red
SCG5,magenta
PTK6,red
C1orf204,magenta
C1QL1,magenta
PLB1,red
FAT2,tan
TBC1D8,blue
CERCAM,tan
TPK1,blue
STS,blue
ZCCHC24,blue
NT5DC2,red
GPR141,blue
C11orf35,red
LOC100272216,blue
TIMP1,red
CDC42EP4,red
NLRP3,blue
GAA,red
KIF1C,red
JHDM1D,blue
ZBTB38,blue
KMO,blue
ATXN1,blue
RNF207,magenta
TSPAN16,blue
KHDC1,magenta
FAM127B,red
ADAM9,blue
SLC44A1,blue
JDP2,red
C19orf35,red
TLR6,blue
GALNT3,tan
FAHD2B,magenta
PPEF2,blue
C19orf26,magenta
DKFZp761E198,red
CAPN2,blue
GLIPR2,blue
MPZL3,blue
C9orf72,blue
C3orf14,blue
CLEC18A,red
TCTEX1D4,red
ZBTB7B,red
GADD45B,red
ENPP4,magenta
PI4K2A,blue
SH2B2,red
ALDH3A2,blue
RAB43,blue
CC2D2A,blue
SPA17,blue
HOXB8,magenta
GPR132,blue
STARD8,blue
COMTD1,red
CASP1,blue
KIF16B,blue
CST6,red
TMEM170B,blue
SLC27A3,red
LOC730668,magenta
GCHFR,red
LOC338758,red
RBP4,red
FAM101B,tan
FAM107B,blue
ROGDI,tan
AHNAK,blue
TRPM2,blue
EHD4,blue
CXCR4,blue
CLDN3,red
IER5L,red
TNFSF13,red
ST3GAL5,blue
C16orf79,red
LOC100134229,blue
ENC1,blue
GPR137B,blue
BBC3,red
OSBPL5,tan
NKG7,red
IL17B,red
RFX2,red
KIAA1755,red
LRP1B,blue
AANAT,blue
C1orf183,blue
NINJ1,red
ELL2,magenta
GAS7,blue
GPR160,blue
FZD1,blue
DLEC1,red
CHIC1,magenta
JUNB,red
RENBP,red
SLIT1,blue
BFSP2,magenta
FMNL2,blue
LPPR2,red
OAZ3,red
FLJ10357,red
ADORA1,blue
MVP,blue
ITGAL,blue
CAST,blue
SLC13A5,tan
C16orf74,tan
SKIL,blue
EIF4E3,blue
ATP6V0E2,red
DPYD,blue
STX1A,red
GRPR,blue
LOC653653,blue
CCDC88B,red
PPM1M,blue
NFKBIZ,blue
BCL3,red
BTG1,red
BCL2L11,blue
SH2D3C,blue
NFIL3,blue
ARL4D,red
NAIP,blue
PECAM1,blue
BTG2,blue
MYBPC3,red
ARHGAP26,blue
C15orf48,blue
SIGLEC5,blue
PSEN2,red
LOC151534,red
SLC12A9,red
MMP19,red
ABHD6,blue
GPR157,magenta
NEDD9,blue
CCR10,red
PTPRE,blue
NAGA,blue
HLX,red
VIM,red
TMEM149,red
MGST1,tan
C12orf5,blue
MGC16025,blue
LMX1B,magenta
SLC31A2,blue
LOC284837,blue
MTA3,red
MOBKL2B,blue
PLD3,red
PALLD,blue
PTTG2,blue
STARD4,blue
RCBTB2,blue
C9orf140,red
LOC729234,magenta
ATP8B3,tan
KCP,red
PELI3,red
CPNE9,red
LOXL3,blue
NWD1,blue
TSPO,red
IQGAP1,blue
ALDH3B1,red
CLCF1,tan
HEXB,blue
TAGLN,blue
C17orf107,red
PAK1,blue
CNGA4,red
ARRB2,blue
EMP3,red
JOSD2,red
IQSEC1,blue
CCDC103,tan
IL4R,red
AGRP,red
MYO1F,blue
HIVEP3,blue
RHBDF2,blue
PLA2G4A,blue
TBC1D2,blue
TMEM154,blue
SLA,blue
KBTBD8,blue
BRI3,red
OGFRL1,blue
TNFSF13B,blue
CD300LF,blue
NAGS,blue
SRGAP2,blue
FAM125B,red
PADI6,blue
KIF1B,blue
TCIRG1,red
NEAT1,blue
TP53I3,red
C9orf64,blue
TRIM3,red
LRRC20,magenta
ANXA1,tan
RAB3A,red
TNS3,blue
ABHD11,red
NUCB2,tan
SLC22A4,tan
CD151,red
FUT4,tan
PARP3,red
ATP6V0A1,blue
TDRD7,blue
SEMA4A,red
SARM1,magenta
DAPP1,blue
HTATIP2,blue
EVI5,blue
CD300A,blue
RPP25,red
HCST,red
MCL1,blue
SLC22A18,red
PRKCD,red
FOSL2,red
RCAN1,blue
NFKB2,red
VASH1,blue
EMB,blue
MICAL1,blue
MEX3D,red
RAB11FIP1,blue
GSN,red
CCRL2,blue
ADPRH,red
RNH1,red
DPEP2,red
CPPED1,blue
CTSA,red
ANO8,red
RARA,red
SLC26A6,red
CTSB,blue
HDAC4,red
HERPUD1,blue
MFSD10,red
ISG15,red
OTUD1,blue
SBF2,blue
SLC16A13,blue
CYTIP,blue
RAB24,red
NMB,red
C9orf117,magenta
PRRG4,blue
FDXR,red
ALDH4A1,tan
NME3,red
PDE1B,red
FZD5,blue
PVT1,tan
CAPRIN2,magenta
TNFAIP3,blue
TMEM65,magenta
TANC2,magenta
CAPN12,red
CAPN3,blue
DGKG,tan
EGLN1,blue
SH3D20,red
FAM65B,blue
LAT2,blue
PLP2,red
ABCA7,red
STK17B,blue
PVR,magenta
SMTN,red
BMS1P5,tan
HIPK2,blue
HMGB3,tan
PXN,blue
SULT1A2,red
MTP18,red
PDLIM5,blue
CBR1,blue
CAMKK1,red
C7orf50,red
SOD2,blue
KCNE3,red
ZNF438,tan
BIRC3,blue
SNX33,red
ASPHD2,blue
NAAA,blue
PAQR8,magenta
RAB27A,tan
MAPK7,red
AGTPBP1,blue
TMEM63B,red
GDAP1,magenta
SLC36A4,tan
CIDEB,blue
CDKN2D,blue
PLK3,red
SLC45A4,red
PION,blue
UBE2D1,blue
ZC3H12A,red
SFXN3,red
TTYH3,blue
GABARAPL1,red
VAT1,tan
SGTB,blue
ARPC1B,red
RAB7L1,blue
BCAS4,red
AIM1,blue
PDLIM7,red
TGM1,red
CD83,blue
FAM110A,blue
SH3BP1,red
NINJ2,red
EVI2B,blue
SULT1A1,red
TTYH2,blue
CDC42EP2,blue
WARS,blue
AVPI1,red
GPX1,red
ARSA,red
C6orf147,magenta
EME2,red
BST2,red
NBEAL2,red
PLD1,tan
FAM46A,tan
MCTP1,blue
AGAP3,red
SPI1,red
C3orf65,magenta
POTEF,blue
ABCD1,red
CECR5,red
QSOX1,red
FAM45A,tan
ST3GAL6,tan
SRXN1,blue
UNC119,blue
RAB3IP,magenta
GPER,blue
SIDT2,blue
CLDND2,red
IER2,red
TOP1MT,magenta
DNAJB13,red
PIK3R5,blue
CD97,red
EFHD2,red
FYB,blue
TBL1X,blue
IQCE,red
EVI2A,blue
RPA4,tan
ABR,red
TSPAN14,blue
PITPNM1,red
MORN2,tan
C17orf44,blue
SERTAD1,red
KIFC2,red
EPHX1,tan
SESN2,red
C14orf139,tan
SYP,magenta
ATP13A2,red
CORO1B,red
MYADM,red
SAMSN1,blue
PPA1,magenta
ACRBP,red
FTL,red
